concept_id,standard,concept,description,source_url
1,Lean Manufacturing,Lean Manufacturing,"El lean manufacturing (también conocido como ‘producción apretada’, ‘manufactura esbelta’, ‘producción limpia’ o ‘producción sin desperdicios’)​ es un modelo de gestión de origen japonés que se enfoca en minimizar las pérdidas de los sistemas de manufactura al mismo tiempo que maximiza la creación de valor para el cliente final. Para ello utiliza la mínima cantidad de recursos, es decir, los estrictamente necesarios para el crecimiento. Eliminando el despilfarro se mejora la calidad y se reducen el tiempo de producción y el coste. Las herramientas lean (en inglés, ‘ágil’, ‘esbelto’ o ‘sin grasa’) incluyen procesos continuos de análisis (llamadas kaizen en japonés), producción pull (‘disuasión e incentivo’, en el sentido del término japonés kanban), y elementos y procesos «a prueba de fallos» (poka yoke, en japonés), con la filosofía del Monozukuri (‘hacer las cosas bien’, en japonés), todo desde el genba japonés o área de valor. Un aspecto crucial es que la mayoría de los costes se calculan en la etapa de diseño de un producto. A menudo un ingeniero especificará materiales y procesos conocidos y seguros a expensas de otros baratos y eficientes. Esto reduce los riesgos del proyecto, o lo que es lo mismo, el coste según el ingeniero, pero a base de aumentar los riesgos financieros y disminuir los beneficios. Las buenas organizaciones desarrollan y repasan listas de verificación para validar el diseño del producto.",https://es.wikipedia.org/wiki/Lean_manufacturing
2,Lean Manufacturing,El,"El cliente, en general, lo que adquiere no es un producto o servicio sino una solución.",https://es.wikipedia.org/wiki/Lean_manufacturing
3,Lean Manufacturing,La,"La mejora continua como principio de que «todo puede mejorar» en cada uno de los pasos del proceso como en la producción en sí, representa un avance consistente y gradual que beneficia a todos. Se dinamizan los esfuerzos del equipo para mejorar a un mínimo coste conservando el margen de utilidad y con un precio competitivo cumpliendo con las especificaciones de entrega en el tiempo y en el lugar exacto así como en cantidad y calidad sin excederse.",https://es.wikipedia.org/wiki/Lean_manufacturing
4,Lean Manufacturing,Detección,"Detección y solución de problemas desde su origen, eliminando defectos (buscando la perfección) de manera que satisfaga las necesidades del cliente por su alta calidad.",https://es.wikipedia.org/wiki/Lean_manufacturing
5,Lean Manufacturing,Procesos «pull»,Producir solo lo necesario sobre la base de que los productos son solicitados o tirados o por lograr la producción del “jale” del cliente final.,https://es.wikipedia.org/wiki/Lean_manufacturing
6,Lean Manufacturing,Desarrollar,Desarrollar una relación a largo plazo con los proveedores a partir de acuerdos para compartir información y compartir el riesgo de los costes.,https://es.wikipedia.org/wiki/Lean_manufacturing
7,Lean Manufacturing,Cuando,"Cuando los volúmenes de producción sean menores, desarrollar la capacidad de ser flexibles para poder producir ágilmente diferentes misceláneas de gran diversidad de productos.",https://es.wikipedia.org/wiki/Lean_manufacturing
8,Lean Manufacturing,Lean Manufacturing,"Lean manufacturing is an American invented method of manufacturing goods aimed primarily at improving efficiency within the production system as well as response times from suppliers and customers. Its earliest applications can be traced back to German manufacturing principles, first implemented during the Industrial Revolution in agricultural production and small factories. However, the term ""Lean"" was not used to describe these and other manufacturing efficiency methods and philosophies until the 1980s. Before WWII, Dr. William Edwards Deming began to formalize the first true ""Lean"" philosophy for modern manufacturing while working for the US Bureau of Statistics. Later, Deming invented the first ""Lean"" manufacturing method and management philosophy, known as Total Quality Management, which continues to be used as the foundational teachings of Lean today. From there, the Just-in-time manufacturing (JIT manufacturing) process grew, first in Japan and then around the world. Just-in-time manufacturing tries to match production to demand by only supplying goods that have been ordered and focuses on efficiency, productivity (with a commitment to continuous improvement), and reduction of ""wastes"" for the producer and supplier of goods. Lean manufacturing adopts the just-in-time approach and additionally focuses on reducing cycle, flow, and throughput times by further eliminating activities that do not add any value for the customer. Lean manufacturing also involves people who work outside of the manufacturing process, such as in marketing and customer service. Lean manufacturing (also known as agile manufacturing) is particularly related to the operational model implemented in the post-war 1950s and 1960s by the Japanese automobile company Toyota called the Toyota Production System (TPS), known in the United States as ""The Toyota Way"". Toyota's system was erected on the two pillars of just-in-time inventory management and automated quality control.",https://en.wikipedia.org/wiki/Lean_manufacturing
9,Lean Manufacturing,Faulty,"Faulty goods (manufacturing of goods or services that do not meet customer demand or specifications, Womack et al., 2003. See Lean services)",https://en.wikipedia.org/wiki/Lean_manufacturing
10,Lean Manufacturing,Waste,Waste of skills (Six Sigma),https://en.wikipedia.org/wiki/Lean_manufacturing
11,Lean Manufacturing,Under-utilizing,Under-utilizing capabilities (Six Sigma),https://en.wikipedia.org/wiki/Lean_manufacturing
12,Lean Manufacturing,Delegating,Delegating tasks with inadequate training (Six Sigma),https://en.wikipedia.org/wiki/Lean_manufacturing
13,Lean Manufacturing,Metrics,"Metrics (working to the wrong metrics or no metrics) (Mika Geoffrey, 1999)",https://en.wikipedia.org/wiki/Lean_manufacturing
14,Lean Manufacturing,Participation,"Participation (not utilizing workers by not allowing them to contribute ideas and suggestions and be part of Participative Management) (Mika Geoffrey, 1999)",https://en.wikipedia.org/wiki/Lean_manufacturing
15,Lean Manufacturing,Computers (improper use of computers,"not having the proper software, training on use and time spent surfing, playing games or just wasting time) (Mika Geoffrey, 1999)",https://en.wikipedia.org/wiki/Lean_manufacturing
16,Six Sigma,Six Sigma,"Six Sigma (6σ) is a set of techniques and tools for process improvement. It was introduced by American engineer Bill Smith while working at Motorola in 1986. Six Sigma strategies seek to improve manufacturing quality by identifying and removing the causes of defects and minimizing variability in manufacturing and business processes. This is done by using empirical and statistical quality management methods and by hiring people who serve as Six Sigma experts. Each Six Sigma project follows a defined methodology and has specific value targets, such as reducing pollution or increasing customer satisfaction. The term Six Sigma originates from statistical quality control, a reference to the fraction of a normal curve that lies within six standard deviations of the mean, used to represent a defect rate. Motorola pioneered Six Sigma, setting a ""six sigma"" goal for its manufacturing business. It registered Six Sigma as a service mark on June 11, 1991 (U.S. Service Mark 1,647,704); on December 28, 1993, it registered Six Sigma as a trademark. In 2005, Motorola attributed over $17 billion in savings to Six Sigma.",https://en.wikipedia.org/wiki/Six_Sigma
17,Six Sigma,5,5 Whys,https://en.wikipedia.org/wiki/Six_Sigma
18,Six Sigma,Statistical,Statistical and fitting tools Analysis of variance General linear model ANOVA Gauge R&R Regression analysis Correlation Scatter diagram Chi-squared test,https://en.wikipedia.org/wiki/Six_Sigma
19,Six Sigma,Analysis,Analysis of variance,https://en.wikipedia.org/wiki/Six_Sigma
